,segment_id,segment_avg_logprob,segment_compression_ratio,segment_no_speech_prob,seek,start,end,temperature,text,tokens,nltk_opinion_lexicon_positive,nltk_opinion_lexicon_negative,nltk_opinion_lexicon_net,vader_neg,vader_neu,vader_pos,vader_compound
0,0,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,0.0,0.699999988079071,0.0," Okay, question?","[50364, 1033, 11, 1168, 30, 50399]",0.0,0.0,0.0,0.0,0.345,0.655,0.2263
1,1,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,0.699999988079071,1.3600000143051147,0.0, Yeah.,"[50399, 865, 13, 50432]",0.0,0.0,0.0,0.0,0.0,1.0,0.296
2,2,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,1.3600000143051147,2.0399999618530273,0.0, Go ahead.,"[50432, 1037, 2286, 13, 50466]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,3,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,2.0399999618530273,4.699999809265137,0.0, Sure.,"[50466, 4894, 13, 50599]",0.0,0.0,0.0,0.0,0.0,1.0,0.3182
4,4,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,4.699999809265137,5.900000095367432,0.0, She's shocked that I picked her.,"[50599, 1240, 311, 12763, 300, 286, 6183, 720, 13, 50659]",0.0,0.16666666666666666,-0.16666666666666666,0.365,0.635,0.0,-0.3182
5,5,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,5.900000095367432,8.100000381469727,0.0, It's like in a state of shock.,"[50659, 467, 311, 411, 294, 257, 1785, 295, 5588, 13, 50769]",0.14285714285714285,0.0,0.14285714285714285,0.286,0.44,0.275,-0.0258
6,6,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,8.100000381469727,8.779999732971191,0.0, That's okay.,"[50769, 663, 311, 1392, 13, 50803]",0.0,0.0,0.0,0.0,0.345,0.655,0.2263
7,7,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,8.779999732971191,9.9399995803833,0.0, I know you're not thinking.,"[50803, 286, 458, 291, 434, 406, 1953, 13, 50861]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,8,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,9.9399995803833,10.600000381469727,0.0, You never do.,"[50861, 509, 1128, 360, 13, 50894]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,9,-0.3093353509902954,1.805389165878296,0.025511877611279488,0,10.600000381469727,11.279999732971191,0.0," No, go ahead.","[50894, 883, 11, 352, 2286, 13, 50928]",0.0,0.0,0.0,0.524,0.476,0.0,-0.296
